,name,skipper,Anciens noms du bateau,Architecte,Chantier,Date de lancement,Longueur,Largeur,Tirant_eau,Dep_poids,foils,Hmat,Type_Vquille,Surf_vpres,Surf_vportant,Number
FRA 56,NEWREST - ART & FENÊTRES,Fabrice AMEDEO,"No Way Back, Vento di Sardegna",VPLP/Verdier,Persico Marine,01 Août 2015,18.28,5.85,4.50,7,foils,29,monotype,320,570,0056
FRA 49,PURE - Best Western®,Romain ATTANASIO,"Gitana Eighty, Synerciel, Newrest-Matmut",Bruce Farr Design,Southern Ocean Marine (Nouvelle Zélande),08 Mars 2007,18.28,5.80,4.50,9,2,28,acier forgé,280,560,0049
FRA72,TSE -  4MYPLANET,Alexia BARRIER,"Famille Mary-Etamine du Lys, Initiatives Coeur, Le Pingouin",Marc Lombard,MAG France,01 Mars 1998,18.28,5.54,4.50,9,2,29,acier,260,580,0072
17,Maître CoQ IV,Yannick BESTAVEN,Safran 2 - Des Voiles et Vous,Verdier - VPLP,CDK Technologies,12 Mars 2015,18.28,5.80,4.50,8,foils,29,acier mécano soudé,310,550,0017
08,CHARAL,Jérémie BEYOU,,VPLP,CDK Technologies,18 Août 2018,18.28,5.85,4.50,8,foils,29,acier,320,600,0008
FRA 14,LA MIE CÂLINE - ARTISANS ARTIPÔLE,Arnaud BOISSIÈRES,"Ecover3, Président, Gamesa, Kilcullen Voyager-Team Ireland",Owen Clarke Design LLP - Clay Oliver,Hakes Marine - Mer Agitée,03 Août 2007,18.28,5.65,4.50,7.9,foils,29,basculante avec vérin,300,610,0014
18,BUREAU VALLEE 2,Louis BURTON,Banque Populaire VIII,Verdier - VPLP,CDK Technologies,09 Juin 2015,18.28,5.80,4.50,7.6,foils,28,acier,300,600,0018
ESP 33,ONE PLANET ONE OCEAN,Didac COSTA,Kingfisher - Educacion sin Fronteras - Forum Maritim Catala - One Planet One Ocean & Pharmaton,Owen Clarke Design,Martens Yachts,02 Février 2000,18.28,5.30,4.50,8.9,2,26,acier,240,470,0033
FRA 71,GROUPE SÉTIN,Manuel COUSIN,"Paprec-Virbac2, Estrella Damm, We are Water, La Mie Câline",Bruce Farr Yacht Design,Southern Ocean Marine (Nouvelle-Zélande),02 Février 2007,18.28,5.80,4.50,9,2 asymétriques,28.50,basculante sur vérin hydraulique,270,560,0071
FRA30,BANQUE POPULAIRE X,Clarisse CREMER,Macif - SMA,Verdier - VPLP,CDK - Mer Agitée,01 Mars 2011,18.28,5.70,4.5,7.7,2,29,acier forgé,340,570,0030
FRA 79,APIVIA,Charlie DALIN,,Verdier,CDK technologies - MerConcept,05 Août 2019,18.28,5.85,4.50,8,foils,29,acier,350,560,0079
FRA109,INITIATIVES-COEUR,Sam DAVIES,Maître CoQ - Banque Populaire VII- Foncia II,VPLP - Verdier,CDK Technologies,20 Septembre 2010,18.28,5.70,4.50,7.8,foils,27,acier forgé,300,600,0109
69,MERCI,Sébastien DESTREMAU,"Foresight Natural Energy, Maisonneuve",Lavanos,Artech do Brasil,15 Janvier 2005,18.28,5.60,4.50,8.5,2,29,acier,250,650,0069
FRA09,OMIA - WATER FAMILY ,Benjamin DUTREUX,"Spirit of Yukoh, Neutrogena, Hugo Boss, Estrella Damm, Veolia Environnement, BT",Bruce Farr Design,Offshore Challenge - Cowes,03 Juillet 2007,18.28,5.85,4.50,8,2,29,acier forgé,300,700,0009
FRA 85,PRB,Kevin ESCOFFIER,,Verdier - VPLP,CDK Technologies,08 Mars 2010,18.28,5.50,4.50,NC,foils,27.40,Acier mécano soudé,300,600,0085
FRA83,Compagnie du Lit / Jiliti,Clément GIRAUD,"Delta Dore, Bureau Vallée, Vers un Monde sans Sida",Bruce Farr design,JMV Cherbourg,26 Juillet 2006,18.28,5.75,4.50,8.5,2,29,acier forgé,300,620,0083
GBR77,MEDALLIA,Pip HARE,"Armor Lux, We Are Water, La Fabrique",Pierre Rolland,Bernard Stamm,03 Juillet 1999,18.28,5.70,4.50,9,2,29,carbone,300,580,0777
16,SEAEXPLORER - YACHT CLUB DE MONACO,Boris HERRMANN,"Edmond de Rothschild, Malizia - Yacht Club de Monaco",Verdier - VPLP,Multiplast,07 Août 2015,18.28,5.70,4.50,7.6,foils,29,acier,290,490,0010
FIN222,STARK,Ari HUUSELA,"Aviva, GAES Centros Auditivos",Owen Clarke Design,Hakes Marine - Wellington (Nouvelle-Zélande),06 Août 2007,18.28,5.80,4.50,8.5,2,28,acier,270,580,0222
FRA 27,MACSF,Isabelle JOSCHKE,"Quéguiner, Safran",Verdier - VPLP,Chantier Naval de Larros,04 Juillet 2007,18.28,5.60,4.50,7.7,foils,27,acier,300,650,0027
001,Yes We Cam!,Jean LE CAM,"Cheminées Poujoulat, Mare, Maître CoQ, Mapfre, Foncia",Bruce Farr design,CDK Technologies,03 Janvier 2007,18.28,5.90,4.50,8,2,28,acier forgé,300,620,0001
FRA 92,TIME FOR OCEANS,Stéphane LE DIRAISON,"Hugo Boss, Energa, Compagnie du Lit-Boulogne Billancourt",Finot-Conq Design,Neville Hutton,01 Juin 2007,18.28,5.84,4.50,8.5,foils,28,monotype,300,550,0092
FRA50,CAMPAGNE DE FRANCE,Miranda MERRON,"Great America IV, Mirabaud, Temenos",Owen Clarke,"Southern Ocean Marine, Tauranga",04 Mai 2006,18.28,5.50,4.50,8.5,2,28,carbone,330,600,0050
ITA 34,PRYSMIAN GROUP,Giancarlo PEDOTE,Saint-Michel - Virbac,VPLP - Verdier,Multiplast,02 Avril 2015,18.28,5.80,4.5,8,foils,29,acier forgé,300,600,0034
SUI07,LA FABRIQUE,Alan  ROURA,"Brit Air, Votre Nom autour du Monde, MACSF",Groupe Finot-Conq,Multiplast,01 Août 2007,18.28,5.90,4.50,nc,foils,27,carbone,290,580,0007
FRA 59,LinkedOut,Thomas RUYANT,,Verdier,Persico,03 Septembre 2019,18.28,5.85,4.50,8,foils,29,acier forgé,350,560,0059
FRA1000,GROUPE APICIL,Damien SEGUIN,"Comme Un Seul Homme, DCNS",Groupe Finot-Conq,Multiplast,10 Août 2008,18.28,5.85,4.50,8.5,2,29,acier forgé,350,610,1000
JPN 11,DMG MORI Global One,Kojiro SHIRAISHI,,VPLP,Multiplast,05 Septembre 2019,18.28,5.85,4.50,8,foils,29,acier forgé,320,580,0011
4,ARKEA PAPREC,Sébastien SIMON,,Juan Kouyoumdjian,CDK Technologies / Assemblage : Team ARKEA PAPREC,19 Juillet 2019,18.28,5.70,4.50,8,foiler,29,Inox usiné,260,600,0004
FRA53,V and B-MAYENNE,Maxime SOREL,"Le Souffle du Nord, Groupe Bel",Verdier - VPLP,"Indiana Yachting (Scarlino, Italie)",07 Septembre 2007,18.28,5.50,4.50,7.7,2,29,acier,365,700,0053
GBR 99,HUGO BOSS,Alex THOMSON,,VPLP - Alex Thomson Racing (led by Pete Hobson),Carrington Boats,15 Août 2019,18.28,5.40,4.50,7.7,foils,29,acier forgé,330,630,0099
2,L'OCCITANE EN PROVENCE,Armel TRIPON,,Samuel Manuard,Black Pepper©,31 Janvier 2020,18.28,5.50,4.50,7.8,foils,28,acier forgé,270,535,0002
FRA 6,CORUM L'EPARGNE,Nicolas TROUSSEL,,Juan Kouyoumdjian,CDK technologies - Mer Agitée,15 Mai 2020,18.28,5.70,4.50,7.9,foils,27.30,,270,535,0006
